商品代码,商品名称,商品规格代码,商品规格名称,商品标签,仓库,数量,商品单位,库存重量,可销数,可销售天数,在途数,安全库存下限,安全库存上限,订单占用数,可配数,未付款数,锁定数,库位,商品条码,商品简称,商品备注,规格备注,库存状态,商品分类,商品税号,供应商,保质期,有效日期,生产日期,供应商货号,品牌,商品建档日期,箱规,标准进价,最新采购价,最新采购供应商,成本价格,销售价格,成本总金额,销售总金额,近3日销量,近7日销量,近15日销量,近30日销量
RZ242P0185XL502	,舰载飞行系列飞鲨Polo衫-XL	,,	,,北京仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ242P0185XL502	,	,	,,,,	,,,,,,荣造	,2024-06-26 17:28:51,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ243B02083XL524	,中国航母系列福建舰圆领卫衣-3XI	,,	,,北京仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ243B02083XL524	,	,	,,,,	,,,,,,荣造	,2024-10-15 13:52:30,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ243B0208L524	,中国航母系列福建舰圆领卫衣-L	,,	,,北京仓	,4,,0.0,4, 	,0.0,0,,0.0,4,0,0.0,,RZ243B0208L524	,	,	,,,,	,,,,,,荣造	,2024-10-15 13:52:31,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ241W02083XL524	,中国航母系列福建舰立领卫衣-3XL	,,	,,北京仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ241W02083XL524	,	,	,,,,	,,,,,,荣造	,2024-10-17 15:37:21,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ241W0208M524	,中国航母系列福建舰立领卫衣-M	,,	,,北京仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ241W0208M524	,	,	,,,,	,,,,,,荣造	,2024-10-17 15:32:17,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ241W0208L524	,中国航母系列福建舰立领卫衣-L	,,	,,北京仓	,1,,0.0,1, 	,0.0,0,,0.0,1,0,0.0,,RZ241W0208L524	,	,	,,,,	,,,,,,荣造	,2024-10-17 15:35:19,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ241W0208M524	,中国航母系列福建舰立领卫衣-M	,,	,,荣造仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ241W0208M524	,	,	,,,,	,,,,,,荣造	,2024-10-17 15:32:17,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ241W02083XL524	,中国航母系列福建舰立领卫衣-3XL	,,	,,荣造仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ241W02083XL524	,	,	,,,,	,,,,,,荣造	,2024-10-17 15:37:21,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ241W0208XL524	,中国航母系列福建舰立领卫衣-XL	,,	,,荣造仓	,36,,0.0,36, 	,0.0,0,,0.0,36,0,0.0,,RZ241W0208XL524	,	,	,,,,	,,,,,,荣造	,2024-10-17 15:35:19,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ241W0208L524	,中国航母系列福建舰立领卫衣-L	,,	,,荣造仓	,16,,0.0,16, 	,0.0,0,,0.0,16,0,0.0,,RZ241W0208L524	,	,	,,,,	,,,,,,荣造	,2024-10-17 15:35:19,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ241W02082XL524	,中国航母系列福建舰立领卫衣-2XL	,,	,,荣造仓	,24,,0.0,24, 	,0.0,0,,0.0,24,0,0.0,,RZ241W02082XL524	,	,	,,,,	,,,,,,荣造	,2024-10-17 15:37:21,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242T01860030	,舰载飞行系列-九天揽月重磅纯棉T恤M	,,	,,荣造仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ242T01860030	,	,	,,,,	,,,,,,,2024-07-08 19:09:51,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242T01860060	,舰载飞行系列-九天揽月重磅纯棉T恤2XL	,,	,,荣造仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ242T01860060	,	,	,,,,	,,,,,,,2024-07-08 19:14:55,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ243B0208M524	,中国航母系列福建舰圆领卫衣-M	,,	,,荣造仓	,1,,0.0,0, 	,0.0,0,,1.0,0,0,0.0,,RZ243B0208M524	,	,	,,,,	,,,,,,荣造	,2024-10-15 13:52:31,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ243B02083XL524	,中国航母系列福建舰圆领卫衣-3XI	,,	,,荣造仓	,5,,0.0,5, 	,0.0,0,,0.0,5,0,0.0,,RZ243B02083XL524	,	,	,,,,	,,,,,,荣造	,2024-10-15 13:52:30,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ243B02082XL524	,中国航母系列福建舰圆领卫衣-2XL	,,	,,荣造仓	,48,,0.0,48, 	,0.0,0,,0.0,48,0,0.0,,RZ243B02082XL524	,	,	,,,,	,,,,,,荣造	,2024-10-15 13:52:30,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ243B02084XL524	,中国航母系列福建舰圆领卫衣-4XI	,,	,,荣造仓	,6,,0.0,5, 	,0.0,0,,1.0,5,0,0.0,,RZ243B02084XL524	,	,	,,,,	,,,,,,荣造	,2024-10-15 13:55:33,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ243B0208XL524	,中国航母系列福建舰圆领卫衣-XL	,,	,,荣造仓	,93,,0.0,93, 	,0.0,0,,0.0,93,0,0.0,,RZ243B0208XL524	,	,	,,,,	,,,,,,荣造	,2024-10-15 13:52:31,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ243B0208L524	,中国航母系列福建舰圆领卫衣-L	,,	,,荣造仓	,74,,0.0,74, 	,0.0,0,,0.0,74,0,0.0,,RZ243B0208L524	,	,	,,,,	,,,,,,荣造	,2024-10-15 13:52:31,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ233W01636XL809	,舰载飞行冲上云霄飞行夹克-6XL	,,	,,北京仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ233W01636XL809	,	,	,,,,	,,,,,,荣造	,2023-08-10 13:36:02,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ245T02043XL106	,黑色飞行棉T恤-3XL	,,	,,荣造仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ245T02043XL106	,	,,,,,,,,,,,,2024-09-27 17:42:51,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ245T02042XL106	,黑色飞行棉T恤-2XL	,,	,,荣造仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ245T02042XL106	,	,,,,,,,,,,,,2024-09-27 17:42:51,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ245T0204M106	,黑色飞行棉T恤-M	,,	,,荣造仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ245T0204M106	,	,,,,,,,,,,,,2024-09-27 17:39:49,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
022141020520009	,山东舰镭射切割款52CM	,,	,服饰类	,北京仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,022141020520009	,	,,,,,,,,,,,,2021-12-20 17:57:30,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ246Z0009965	,荣造礼品袋(小）	,,	,,荣造仓	,281,,0.0,281, 	,0.0,0,,0.0,281,0,0.0,,RZ246Z0009965	,	,	,,,,	,,,,,,荣造	,2024-09-25 18:28:16,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,10,11
RZ245M5042058106	,舰载飞行黑色帽子镭射款	,,	,,荣造仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ245M5042058106	,	,	,,,,	,,,,,,荣造	,2024-08-23 13:36:19,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ246Z0009975	,荣造礼品袋(中）	,,	,,荣造仓	,220,,0.0,218, 	,0.0,0,,2.0,219,0,0.0,,RZ246Z0009975	,	,	,,,,	,,,,,,荣造	,2024-09-25 18:28:16,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,14,16
RZ246Z0009965	,荣造礼品袋(小）	,,	,,北京仓	,7,,0.0,7, 	,0.0,0,,0.0,7,0,0.0,,RZ246Z0009965	,	,	,,,,	,,,,,,荣造	,2024-09-25 18:28:16,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ246Z0009975	,荣造礼品袋(中）	,,	,,北京仓	,27,,0.0,27, 	,0.0,0,,0.0,27,0,0.0,,RZ246Z0009975	,	,	,,,,	,,,,,,荣造	,2024-09-25 18:28:16,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ20240927GZ	,森宝公仔礼盒	,,	,,北京仓	,9,,0.0,9, 	,0.0,0,,0.0,9,0,0.0,,RZ20240927GZ	,	,	,,,,	,,,,,,,2024-09-27 16:18:42,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242P01932XL524	,空军POLO衫-2XL	,,	,,荣造仓	,1,,0.0,0, 	,0.0,0,,1.0,0,0,0.0,,RZ242P01932XL524	,	,	,,,,	,,,,,,荣造	,2024-08-29 17:00:52,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242P0193L524	,空军POLO衫-L	,,	,,荣造仓	,6,,0.0,0, 	,0.0,0,,6.0,0,0,0.0,,RZ242P0193L524	,	,	,,,,	,,,,,,荣造	,2024-08-29 16:58:51,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242P0193M524	,空军POLO衫-M	,,	,,荣造仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ242P0193M524	,	,	,,,,	,,,,,,荣造	,2024-08-29 16:58:51,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242P0193XL524	,空军POLO衫-XL	,,	,,荣造仓	,2,,0.0,1, 	,0.0,0,,1.0,1,0,0.0,,RZ242P0193XL524	,	,	,,,,	,,,,,,荣造	,2024-08-29 17:00:53,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242P01933XL524	,空军POLO衫-3XL	,,	,,荣造仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ242P01933XL524	,	,	,,,,	,,,,,,荣造	,2024-08-29 17:03:55,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242P01934XL524	,空军POLO衫-4XL	,,	,,荣造仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ242P01934XL524	,	,	,,,,	,,,,,,荣造	,2024-08-29 17:03:55,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242P01933XL524	,空军POLO衫-3XL	,,	,,北京仓	,1,,0.0,1, 	,0.0,0,,0.0,1,0,0.0,,RZ242P01933XL524	,	,	,,,,	,,,,,,荣造	,2024-08-29 17:03:55,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242P0193XL524	,空军POLO衫-XL	,,	,,北京仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ242P0193XL524	,	,	,,,,	,,,,,,荣造	,2024-08-29 17:00:53,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242P0193L524	,空军POLO衫-L	,,	,,北京仓	,1,,0.0,1, 	,0.0,0,,0.0,1,0,0.0,,RZ242P0193L524	,	,	,,,,	,,,,,,荣造	,2024-08-29 16:58:51,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242P01932XL524	,空军POLO衫-2XL	,,	,,北京仓	,1,,0.0,1, 	,0.0,0,,0.0,1,0,0.0,,RZ242P01932XL524	,	,	,,,,	,,,,,,荣造	,2024-08-29 17:00:52,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242P01934XL524	,空军POLO衫-4XL	,,	,,北京仓	,1,,0.0,1, 	,0.0,0,,0.0,1,0,0.0,,RZ242P01934XL524	,	,	,,,,	,,,,,,荣造	,2024-08-29 17:03:55,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242P0193M524	,空军POLO衫-M	,,	,,北京仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ242P0193M524	,	,	,,,,	,,,,,,荣造	,2024-08-29 16:58:51,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ233W0165M106	,舰载飞行咆哮熊猫飞行夹克-M	,,	,,北京仓	,4,,0.0,4, 	,0.0,0,,0.0,4,0,0.0,,RZ233W0165M106	,	,	,,,,	,,,,,,荣造	,2023-08-10 13:39:04,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ245M5046058524	,空军帽子	,,	,,荣造仓	,0,,0.0,0, 	,620.0,0,,0.0,0,0,0.0,,RZ245M5046058524	,	,,,,,,,,,,,,2024-09-02 13:39:59,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ24507130000	,飞鲨钥匙扣挂件章	,,	,,荣造仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ24507130000	,	,,,,,,,,,,,,2024-07-08 11:09:50,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ24500194190000	,夏令营男套装190	,,	,,北京仓	,0,,0.0,0, 	,15.0,0,,0.0,0,0,0.0,,RZ24500194190000	,	,,,,,,,,,,,,2024-07-26 18:08:21,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ24500194120000	,夏令营男套装120	,,	,,北京仓	,0,,0.0,0, 	,10.0,0,,0.0,0,0,0.0,,RZ24500194120000	,	,,,,,,,,,,,,2024-07-26 18:00:16,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ24500194170000	,夏令营男套装170	,,	,,北京仓	,0,,0.0,0, 	,71.0,0,,0.0,0,0,0.0,,RZ24500194170000	,	,,,,,,,,,,,,2024-07-26 18:05:19,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ24500194160000	,夏令营男套装160	,,	,,北京仓	,0,,0.0,0, 	,70.0,0,,0.0,0,0,0.0,,RZ24500194160000	,	,,,,,,,,,,,,2024-07-26 18:05:19,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ24500194130000	,夏令营男套装130	,,	,,北京仓	,0,,0.0,0, 	,25.0,0,,0.0,0,0,0.0,,RZ24500194130000	,	,,,,,,,,,,,,2024-07-26 18:03:17,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ24500194150000	,夏令营男套装150	,,	,,北京仓	,0,,0.0,0, 	,60.0,0,,0.0,0,0,0.0,,RZ24500194150000	,	,,,,,,,,,,,,2024-07-26 18:05:19,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ24500194180000	,夏令营男套装180	,,	,,北京仓	,0,,0.0,0, 	,32.0,0,,0.0,0,0,0.0,,RZ24500194180000	,	,,,,,,,,,,,,2024-07-26 18:08:21,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ24500194140000	,夏令营男套装140	,,	,,北京仓	,0,,0.0,0, 	,46.0,0,,0.0,0,0,0.0,,RZ24500194140000	,	,,,,,,,,,,,,2024-07-26 18:03:18,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242T0192M0	,航母系列中国航母重磅纯棉T恤-M	,,	,,北京仓	,1,,0.0,1, 	,0.0,0,,0.0,1,0,0.0,,RZ242T0192M0	,	,	,,,,	,,,,,,,2024-07-29 14:53:35,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ246P0003000	,舰载熊猫挂件-套装（7个颜色各1）	,,	,,北京仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ246P0003000	,	,	,,,,	,,,,,,荣造	,2024-07-31 17:38:50,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ246P0003000	,舰载熊猫挂件-套装（7个颜色各1）	,,	,,荣造仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ246P0003000	,	,	,,,,	,,,,,,荣造	,2024-07-31 17:38:50,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242T01891400_754814659105	,[已停用]舰载熊猫系列-好运熊猫纯棉T恤儿童款140	,,	,,北京仓	,0,,0.0,0, 	,40.0,0,,0.0,0,0,0.0,,	,	,,,,,,,,,,,,2024-07-15 17:43:49,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242T01880020_754795385721	,[已停用]舰载熊猫系列-好运熊猫亲子纯棉T恤S	,,	,,北京仓	,0,,0.0,0, 	,20.0,0,,0.0,0,0,0.0,,	,	,,,,,,,,,,,,2024-07-15 16:43:17,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242T01880070_754811050833	,[已停用]舰载熊猫系列-好运熊猫亲子纯棉T恤3XL	,,	,,北京仓	,0,,0.0,0, 	,24.0,0,,0.0,0,0,0.0,,	,	,,,,,,,,,,,,2024-07-15 17:30:42,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242T01880050_754809028916	,[已停用]舰载熊猫系列-好运熊猫亲子纯棉T恤XL	,,	,,北京仓	,0,,0.0,0, 	,36.0,0,,0.0,0,0,0.0,,	,	,,,,,,,,,,,,2024-07-15 17:23:38,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242T01880060_754809727675	,[已停用]舰载熊猫系列-好运熊猫亲子纯棉T恤2XL	,,	,,北京仓	,0,,0.0,0, 	,34.0,0,,0.0,0,0,0.0,,	,	,,,,,,,,,,,,2024-07-15 17:25:39,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242T01891500_754815175380	,[已停用]舰载熊猫系列-好运熊猫纯棉T恤儿童款150	,,	,,北京仓	,0,,0.0,0, 	,36.0,0,,0.0,0,0,0.0,,	,	,,,,,,,,,,,,2024-07-15 17:45:50,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242T01891300_754814687550	,[已停用]舰载熊猫系列-好运熊猫纯棉T恤儿童款130	,,	,,北京仓	,0,,0.0,0, 	,24.0,0,,0.0,0,0,0.0,,	,	,,,,,,,,,,,,2024-07-15 17:43:49,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242T01880040_754806300159	,[已停用]舰载熊猫系列-好运熊猫亲子纯棉T恤L	,,	,,北京仓	,0,,0.0,0, 	,42.0,0,,0.0,0,0,0.0,,	,	,,,,,,,,,,,,2024-07-15 17:15:34,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242T01880030_754795404465	,[已停用]舰载熊猫系列-好运熊猫亲子纯棉T恤M	,,	,,北京仓	,0,,0.0,0, 	,38.0,0,,0.0,0,0,0.0,,	,	,,,,,,,,,,,,2024-07-15 16:43:17,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242M5034054102	,福建舰夏季舰帽54码	,,	,,北京仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ242M5034054102	,	,	,,,舰帽	,	,,,,,,荣造	,2024-08-19 09:27:30,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ242M5034054102	,福建舰夏季舰帽54码	,,	,,荣造仓	,219,,0.0,219, 	,300.0,0,,0.0,219,0,0.0,,RZ242M5034054102	,	,	,,,舰帽	,	,,,,,,荣造	,2024-08-19 09:27:30,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
022131020570008	,舰载飞行帽子57CM	,,	,	,北京仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,022131020570008	,	,,,,,,,,,,,,2021-12-20 17:56:33,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
